타임스탬프,학년,성별,학과,취미,휴대폰 이용 시간대,휴대폰 이용 시간,휴대폰으로 주로 하는것,자기 전 1시간 휴대폰 이용,전자기기 제외 주로 뭐 하는지,학교 수업 외로 하루 공부 시간,주로 공부하는 시간,학과 선택 만족,전공 취업 선호도,소셜 미디어 사용 시간,집에서 학교까지 오는시간,학업 스트레스,교우관계,아르바이트,방과후 수업
2023. 10. 12 오후 2:50:06,2,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),5~7시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),X,4,1시간-2시간,30-1시간,2,3,X,X
2023. 10. 12 오후 2:50:26,2,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,O,4,0-30분,10-30분,1,3,X,X
2023. 10. 12 오후 2:53:46,2,남자,스마트웹콘텐츠과,영상시청,학교에서(9시~17시),3~5시간,"영상 시청(유튜브, OTT)",한다,공부,0-30분,방과후(저녁),O,8,2시간-3시간 이상,10-30분,2,2,X,O
2023. 10. 12 오후 3:08:25,2,남자,스마트웹콘텐츠과,게임,학교에서(9시~17시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),O,7,1시간-2시간,10-30분,4,2,O,O
2023. 10. 12 오후 3:12:59,2,여자,스마트웹콘텐츠과,예술,새벽에(00시~6시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,10,2시간-3시간 이상,10-30분,3,4,X,X
2023. 10. 12 오후 3:13:50,3,여자,금융경영과,음악,밤에(20시~24시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),O,7,1시간-2시간,30-1시간,3,1,X,X
2023. 10. 12 오후 3:16:29,1,여자,창업마케팅과,음악,새벽에(00시~6시),3~5시간,SNS,한다,기타,1시간-2시간,밤,O,4,30-1시간,1시간-2시간,4,2,X,X
2023. 10. 12 오후 3:42:14,2,여자,스마트웹콘텐츠과,예술,새벽에(00시~6시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,5,2시간-3시간 이상,10-30분,2,2,O,X
2023. 10. 12 오후 3:46:07,1,남자,소프트웨어개발과,게임,새벽에(00시~6시),9시간 이상,웹툰,한다,공부,2시간-3시간 이상,기타,O,10,2시간-3시간 이상,2시간 이상,2,3,X,X
2023. 10. 12 오후 3:46:13,2,여자,창업마케팅과,운동,저녁에(17시~20시),5~7시간,웹툰,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,밤,O,6,2시간-3시간 이상,30-1시간,4,4,X,O
2023. 10. 12 오후 3:46:13,2,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,공부,30분-1시간,밤,O,8,1시간-2시간,1시간-2시간,3,1,X,O
2023. 10. 12 오후 3:46:14,1,여자,스마트웹콘텐츠과,기타,저녁에(17시~20시),7~9시간,정보검색,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),X,5,2시간-3시간 이상,10-30분,4,3,X,O
2023. 10. 12 오후 3:46:33,1,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),5~7시간,SNS,한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),O,10,2시간-3시간 이상,30-1시간,2,1,O,O
2023. 10. 12 오후 3:46:36,2,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,8,1시간-2시간,30-1시간,2,4,X,O
2023. 10. 12 오후 3:46:40,2,여자,소프트웨어개발과,영상시청,밤에(20시~24시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,10,2시간-3시간 이상,30-1시간,3,3,O,O
2023. 10. 12 오후 3:47:13,2,여자,소프트웨어개발과,영상시청,저녁에(17시~20시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,X,9,30-1시간,10-30분,3,2,O,O
2023. 10. 12 오후 3:47:32,2,남자,소프트웨어개발과,게임,저녁에(17시~20시),9시간 이상,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,X,2,0-30분,10-30분,3,1,X,O
2023. 10. 12 오후 3:47:55,2,남자,소프트웨어개발과,게임,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,O,10,30-1시간,30-1시간,1,1,X,O
2023. 10. 12 오후 3:47:58,2,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),O,5,30-1시간,30-1시간,1,1,X,O
2023. 10. 12 오후 3:48:12,2,남자,소프트웨어개발과,운동,저녁에(17시~20시),1~3시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,10,30-1시간,10-30분,2,2,X,O
2023. 10. 12 오후 3:48:28,1,남자,소프트웨어개발과,영상시청,새벽에(00시~6시),1~3시간,웹툰,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,X,0,30-1시간,10-30분,3,3,X,X
2023. 10. 12 오후 3:48:30,2,남자,소프트웨어개발과,게임,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,10,2시간-3시간 이상,10-30분,2,1,X,O
2023. 10. 12 오후 3:48:33,2,남자,소프트웨어개발과,게임,밤에(20시~24시),9시간 이상,웹툰,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,10,0-30분,1시간-2시간,3,1,X,O
2023. 10. 12 오후 3:48:38,1,여자,소프트웨어개발과,기타,저녁에(17시~20시),5~7시간,SNS,한다,기타,30분-1시간,밤,O,8,2시간-3시간 이상,1시간-2시간,2,2,X,O
2023. 10. 12 오후 3:48:47,1,남자,소프트웨어개발과,게임,밤에(20시~24시),9시간 이상,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,6,2시간-3시간 이상,30-1시간,3,2,X,O
2023. 10. 12 오후 3:48:49,2,남자,소프트웨어개발과,음악,저녁에(17시~20시),1~3시간,정보검색,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,방과후(저녁),O,10,0-30분,30-1시간,1,1,X,O
2023. 10. 12 오후 3:48:52,1,남자,금융경영과,운동,학교에서(9시~17시),3~5시간,SNS,한다,스포츠 활동,30분-1시간,방과후(저녁),X,6,1시간-2시간,10-30분,2,1,X,O
2023. 10. 12 오후 3:48:54,2,남자,소프트웨어개발과,기타,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,1시간-2시간,기타,O,8,1시간-2시간,10-30분,2,3,X,X
2023. 10. 12 오후 3:49:18,2,남자,소프트웨어개발과,게임,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,공부,30분-1시간,밤,O,10,30-1시간,10-30분,3,3,X,O
2023. 10. 12 오후 3:49:26,2,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,밤,O,10,2시간-3시간 이상,10-30분,2,1,X,O
2023. 10. 12 오후 3:49:28,1,남자,금융경영과,기타,학교에서(9시~17시),9시간 이상,SNS,한다,기타,0-30분,기타,X,5,0-30분,10-30분,3,3,O,X
2023. 10. 12 오후 3:49:35,2,남자,소프트웨어개발과,음악,새벽에(00시~6시),3~5시간,"영상 시청(유튜브, OTT)",한다,기타,2시간-3시간 이상,밤,O,10,30-1시간,30-1시간,4,1,X,O
2023. 10. 12 오후 3:49:39,1,남자,창업마케팅과,게임,저녁에(17시~20시),7~9시간,"영상 시청(유튜브, OTT)",한다,TV 보기,30분-1시간,기타,O,6,1시간-2시간,30-1시간,3,2,X,X
2023. 10. 12 오후 3:49:47,1,남자,소프트웨어개발과,게임,저녁에(17시~20시),1시간 미만,SNS,안한다,기타,30분-1시간,방과후(저녁),O,10,0-30분,1시간-2시간,1,1,X,O
2023. 10. 12 오후 3:50:20,1,남자,소프트웨어개발과,영상시청,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),O,6,30-1시간,1시간-2시간,3,2,X,O
2023. 10. 12 오후 3:50:24,1,남자,소프트웨어개발과,영상시청,밤에(20시~24시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,10,2시간-3시간 이상,10-30분,2,2,X,O
2023. 10. 12 오후 3:50:38,1,남자,소프트웨어개발과,음악,저녁에(17시~20시),3~5시간,게임,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,10,1시간-2시간,30-1시간,2,3,X,O
2023. 10. 12 오후 3:50:49,1,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,공부,30분-1시간,밤,X,0,1시간-2시간,30-1시간,4,3,X,X
2023. 10. 12 오후 3:50:51,1,여자,소프트웨어개발과,기타,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,X,5,2시간-3시간 이상,30-1시간,2,3,O,X
2023. 10. 12 오후 3:50:56,1,여자,소프트웨어개발과,음악,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,X,8,2시간-3시간 이상,10-30분,2,2,X,X
2023. 10. 12 오후 3:50:57,1,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),3~5시간,웹툰,한다,스포츠 활동,0-30분,기타,O,6,2시간-3시간 이상,10-30분,1,1,X,X
2023. 10. 12 오후 3:51:11,1,남자,소프트웨어개발과,운동,밤에(20시~24시),1~3시간,SNS,한다,스포츠 활동,30분-1시간,밤,O,6,30-1시간,10-30분,4,1,X,O
2023. 10. 12 오후 3:51:17,2,남자,소프트웨어개발과,게임,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",안한다,TV 보기,30분-1시간,방과후(저녁),O,10,0-30분,10-30분,1,1,X,O
2023. 10. 12 오후 3:51:23,1,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,기타,X,4,1시간-2시간,10-30분,3,3,X,X
2023. 10. 12 오후 3:51:24,2,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,웹툰,한다,스포츠 활동,30분-1시간,기타,X,0,30-1시간,10-30분,3,1,X,X
2023. 10. 12 오후 3:51:30,1,남자,소프트웨어개발과,운동,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),O,7,2시간-3시간 이상,30-1시간,2,2,X,O
2023. 10. 12 오후 3:51:33,1,여자,소프트웨어개발과,영상시청,아침(6시~9시),3~5시간,"영상 시청(유튜브, OTT)",한다,기타,0-30분,밤,X,5,1시간-2시간,10-30분,4,2,X,O
2023. 10. 12 오후 3:51:38,1,남자,소프트웨어개발과,영상시청,새벽에(00시~6시),9시간 이상,SNS,한다,TV 보기,0-30분,밤,O,10,2시간-3시간 이상,30-1시간,4,4,X,O
2023. 10. 12 오후 3:51:47,1,남자,소프트웨어개발과,운동,아침(6시~9시),3~5시간,SNS,한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),O,10,1시간-2시간,30-1시간,2,3,X,O
2023. 10. 12 오후 3:52:05,1,남자,금융경영과,게임,학교에서(9시~17시),9시간 이상,웹툰,한다,스포츠 활동,0-30분,기타,O,5,0-30분,10-30분,2,3,O,X
2023. 10. 12 오후 3:52:17,1,남자,금융경영과,운동,저녁에(17시~20시),1~3시간,SNS,한다,스포츠 활동,30분-1시간,방과후(저녁),O,6,30-1시간,10-30분,2,3,O,O
2023. 10. 12 오후 3:52:29,1,남자,스마트웹콘텐츠과,기타,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,기타,1시간-2시간,방과후(저녁),X,6,30-1시간,10-30분,3,1,X,X
2023. 10. 12 오후 3:52:58,1,남자,소프트웨어개발과,기타,새벽에(00시~6시),5~7시간,웹툰,한다,TV 보기,0-30분,밤,O,10,2시간-3시간 이상,30-1시간,2,1,X,O
2023. 10. 12 오후 3:53:09,1,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,SNS,한다,스포츠 활동,0-30분,방과후(저녁),O,6,1시간-2시간,10-30분,3,3,X,O
2023. 10. 12 오후 3:53:12,1,여자,소프트웨어개발과,기타,학교에서(9시~17시),1시간 미만,SNS,안한다,스포츠 활동,30분-1시간,방과후(저녁),O,10,30-1시간,30-1시간,1,1,X,O
2023. 10. 12 오후 3:53:26,1,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,밤,O,7,2시간-3시간 이상,30-1시간,3,3,X,O
2023. 10. 12 오후 3:53:28,2,남자,소프트웨어개발과,영상시청,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,TV 보기,30분-1시간,밤,O,10,2시간-3시간 이상,30-1시간,3,3,X,O
2023. 10. 12 오후 3:53:42,1,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),X,4,30-1시간,30-1시간,3,1,O,O
2023. 10. 12 오후 3:56:09,1,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,O,5,1시간-2시간,10-30분,4,1,X,O
2023. 10. 12 오후 4:10:16,3,여자,소프트웨어개발과,음악,새벽에(00시~6시),7~9시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,X,7,1시간-2시간,10-30분,2,3,O,X
2023. 10. 12 오후 4:30:54,1,여자,창업마케팅과,게임,밤에(20시~24시),3~5시간,게임,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,밤,O,10,2시간-3시간 이상,10-30분,4,3,X,O
2023. 10. 12 오후 4:31:45,1,여자,창업마케팅과,게임,저녁에(17시~20시),3~5시간,게임,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,X,8,30-1시간,1시간-2시간,3,1,O,X
2023. 10. 12 오후 4:32:06,1,여자,창업마케팅과,기타,밤에(20시~24시),9시간 이상,SNS,한다,기타,0-30분,밤,X,4,2시간-3시간 이상,10-30분,2,1,O,X
2023. 10. 12 오후 4:32:19,1,여자,창업마케팅과,예술,밤에(20시~24시),7~9시간,SNS,한다,스포츠 활동,0-30분,밤,O,6,2시간-3시간 이상,1시간-2시간,2,3,X,X
2023. 10. 12 오후 4:32:25,1,여자,창업마케팅과,예술,새벽에(00시~6시),9시간 이상,"영상 시청(유튜브, OTT)",한다,기타,0-30분,기타,X,5,30-1시간,10-30분,4,2,X,X
2023. 10. 12 오후 4:32:29,1,여자,창업마케팅과,기타,밤에(20시~24시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,O,5,2시간-3시간 이상,10-30분,2,2,X,X
2023. 10. 12 오후 4:32:31,1,남자,창업마케팅과,운동,밤에(20시~24시),5~7시간,SNS,한다,스포츠 활동,30분-1시간,밤,O,5,1시간-2시간,10-30분,2,3,X,X
2023. 10. 12 오후 4:32:32,1,여자,창업마케팅과,기타,밤에(20시~24시),9시간 이상,SNS,한다,TV 보기,0-30분,기타,O,5,2시간-3시간 이상,1시간-2시간,2,1,X,X
2023. 10. 12 오후 4:32:40,1,여자,창업마케팅과,기타,밤에(20시~24시),9시간 이상,SNS,한다,TV 보기,0-30분,기타,X,0,0-30분,10-30분,1,1,X,X
2023. 10. 12 오후 4:32:46,1,여자,창업마케팅과,음악,학교에서(9시~17시),9시간 이상,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,5,0-30분,10-30분,3,2,X,X
2023. 10. 12 오후 4:32:47,1,여자,창업마케팅과,음악,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,기타,0-30분,밤,X,2,2시간-3시간 이상,10-30분,3,2,O,X
2023. 10. 12 오후 4:32:56,1,여자,창업마케팅과,음악,학교에서(9시~17시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,5,30-1시간,30-1시간,3,1,X,X
2023. 10. 12 오후 4:33:14,1,여자,창업마케팅과,음악,학교에서(9시~17시),7~9시간,SNS,한다,기타,30분-1시간,밤,X,3,2시간-3시간 이상,10-30분,2,2,O,X
2023. 10. 12 오후 4:34:20,1,남자,창업마케팅과,예술,밤에(20시~24시),1~3시간,SNS,한다,스포츠 활동,0-30분,방과후(저녁),X,10,1시간-2시간,30-1시간,1,4,O,X
2023. 10. 12 오후 4:34:34,1,남자,창업마케팅과,게임,밤에(20시~24시),1~3시간,SNS,한다,스포츠 활동,0-30분,기타,O,7,30-1시간,10-30분,4,4,X,X
2023. 10. 12 오후 4:34:56,1,남자,창업마케팅과,운동,밤에(20시~24시),5~7시간,SNS,한다,스포츠 활동,30분-1시간,기타,O,8,2시간-3시간 이상,1시간-2시간,3,3,O,X
2023. 10. 12 오후 4:35:16,1,남자,창업마케팅과,예술,밤에(20시~24시),3~5시간,SNS,한다,TV 보기,0-30분,방과후(저녁),X,1,1시간-2시간,10-30분,3,2,X,X
2023. 10. 12 오후 4:36:06,1,남자,소프트웨어개발과,기타,저녁에(17시~20시),3~5시간,게임,한다,기타,2시간-3시간 이상,방과후(저녁),O,9,0-30분,30-1시간,3,4,X,O
2023. 10. 12 오후 4:36:08,1,여자,창업마케팅과,음악,밤에(20시~24시),9시간 이상,"영상 시청(유튜브, OTT)",한다,공부,30분-1시간,밤,X,2,2시간-3시간 이상,30-1시간,3,1,X,X
2023. 10. 12 오후 4:36:43,1,남자,소프트웨어개발과,게임,아침(6시~9시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,방과후(저녁),O,10,2시간-3시간 이상,30-1시간,3,1,O,O
2023. 10. 12 오후 4:37:15,1,남자,소프트웨어개발과,기타,밤에(20시~24시),3~5시간,SNS,한다,TV 보기,0-30분,방과후(저녁),O,9,1시간-2시간,10-30분,4,1,X,O
2023. 10. 12 오후 4:38:12,1,남자,소프트웨어개발과,게임,학교에서(9시~17시),1~3시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,방과후(저녁),O,8,2시간-3시간 이상,10-30분,2,3,X,O
2023. 10. 12 오후 4:39:13,1,남자,소프트웨어개발과,운동,학교에서(9시~17시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),O,10,2시간-3시간 이상,1시간-2시간,2,1,X,O
2023. 10. 12 오후 4:39:36,1,남자,소프트웨어개발과,게임,저녁에(17시~20시),1~3시간,SNS,안한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),O,8,1시간-2시간,10-30분,2,1,X,O
2023. 10. 12 오후 4:40:17,1,남자,소프트웨어개발과,게임,학교에서(9시~17시),1~3시간,정보검색,한다,공부,30분-1시간,방과후(저녁),O,6,0-30분,30-1시간,3,2,X,O
2023. 10. 12 오후 4:43:00,1,여자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,SNS,한다,TV 보기,30분-1시간,방과후(저녁),O,8,30-1시간,10-30분,2,2,X,O
2023. 10. 12 오후 4:43:02,1,남자,소프트웨어개발과,게임,학교에서(9시~17시),5~7시간,웹툰,한다,기타,0-30분,방과후(저녁),O,10,2시간-3시간 이상,10-30분,2,4,X,O
2023. 10. 12 오후 4:43:03,1,여자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,게임,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,O,7,2시간-3시간 이상,10-30분,3,3,X,O
2023. 10. 12 오후 4:43:25,1,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,게임,한다,공부,30분-1시간,방과후(저녁),O,10,0-30분,30-1시간,3,1,X,O
